subject,structural_ok,n_me_epochs,n_mi_epochs,n_usable_matched_pairs,n_unilateral_pairs,n_bilateral_pairs,movements_me,movements_mi,eligible_primary,eligible_min20,eligible_min40,eligible_strict,reason_codes,reason_detail,n_left_fist_me,n_left_fist_mi,n_right_fist_me,n_right_fist_mi,n_both_fists_me,n_both_fists_mi,n_both_feet_me,n_both_feet_mi,usable_pair_ids,e02_left_fist_n_me,e02_left_fist_n_mi,e02_left_fist_n_pairs,e02_left_fist_eligible,e02_left_fist_reasons,e02_right_fist_n_me,e02_right_fist_n_mi,e02_right_fist_n_pairs,e02_right_fist_eligible,e02_right_fist_reasons,e02_both_fists_n_me,e02_both_fists_n_mi,e02_both_fists_n_pairs,e02_both_fists_eligible,e02_both_fists_reasons,e02_both_feet_n_me,e02_both_feet_n_mi,e02_both_feet_n_pairs,e02_both_feet_eligible,e02_both_feet_reasons,e02_unilateral_n_me,e02_unilateral_n_mi,e02_unilateral_n_pairs,e02_unilateral_eligible,e02_unilateral_reasons,e02_bilateral_n_me,e02_bilateral_n_mi,e02_bilateral_n_pairs,e02_bilateral_eligible,e02_bilateral_reasons,strict_all_runs_valid,strict_reasons,expected_left_fist_me,frac_left_fist_me,expected_left_fist_mi,frac_left_fist_mi,expected_right_fist_me,frac_right_fist_me,expected_right_fist_mi,frac_right_fist_mi,expected_both_fists_me,frac_both_fists_me,expected_both_fists_mi,frac_both_fists_mi,expected_both_feet_me,frac_both_feet_me,expected_both_feet_mi,frac_both_feet_mi
1,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,23,22,22,23,21,22,24,03-04|05-06|07-08|09-10|11-12|13-14,23,23,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,22,24,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,21.0,1.0,22.0,1.0,24.0,1.0
2,True,80,87,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,21,23,21,22,19,21,19,21,03-04|05-06|07-08|09-10|11-12|13-14,21,23,3,True,ELIGIBLE,21,22,3,True,ELIGIBLE,19,21,3,True,ELIGIBLE,19,21,3,True,ELIGIBLE,42,45,3,True,ELIGIBLE,38,42,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,0.9130434782608695,23.0,1.0,22.0,0.9545454545454546,22.0,1.0,21.0,0.9047619047619048,24.0,0.875,24.0,0.7916666666666666,21.0,1.0
3,True,88,86,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,21,23,23,21,21,20,23,22,03-04|05-06|07-08|09-10|11-12|13-14,21,23,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,21,20,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,44,44,3,True,ELIGIBLE,44,42,3,True,ELIGIBLE,True,ELIGIBLE,22.0,0.9545454545454546,23.0,1.0,23.0,1.0,22.0,0.9545454545454546,22.0,0.9545454545454546,21.0,0.9523809523809523,23.0,1.0,24.0,0.9166666666666666
4,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,23,23,22,22,22,23,23,03-04|05-06|07-08|09-10|11-12|13-14,22,23,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,23.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0
5,True,90,89,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,21,22,24,22,22,23,22,03-04|05-06|07-08|09-10|11-12|13-14,23,21,3,True,ELIGIBLE,22,24,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,44,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,21.0,1.0,22.0,1.0,24.0,1.0,22.0,1.0,23.0,0.9565217391304348,23.0,1.0,22.0,1.0
6,True,84,89,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,False,ELIGIBLE,eligible under primary rule,21,24,19,21,22,21,22,23,03-04|05-06|07-08|09-10|11-12|13-14,21,24,3,True,ELIGIBLE,19,21,3,True,ELIGIBLE,22,21,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,40,45,3,True,ELIGIBLE,44,44,3,True,ELIGIBLE,True,STRICT_CELL_EPOCHS,22.0,0.9545454545454546,24.0,1.0,23.0,0.8260869565217391,21.0,1.0,22.0,1.0,22.0,0.9545454545454546,23.0,0.9565217391304348,23.0,1.0
7,True,89,88,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,23,23,22,22,21,22,23,21,03-04|05-06|07-08|09-10|11-12|13-14,23,23,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,21,22,3,True,ELIGIBLE,23,21,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,44,43,3,True,ELIGIBLE,True,ELIGIBLE,23.0,1.0,23.0,1.0,22.0,1.0,22.0,1.0,22.0,0.9545454545454546,22.0,1.0,23.0,1.0,23.0,0.9130434782608695
8,True,90,90,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,22,23,23,22,23,23,22,03-04|05-06|07-08|09-10|11-12|13-14,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,22,23,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0,22.0,1.0
9,True,8,15,1,0,1,both_feet|both_fists,both_feet|both_fists,False,False,False,False,INSUFFICIENT_MATCHED_PAIRS|MISSING_UNILATERAL_PAIR|INSUFFICIENT_ME_EPOCHS|INSUFFICIENT_MI_EPOCHS,fewer than two usable matched ME/MI pairs; no usable unilateral matched pair; fewer than required ME epochs after rejection; fewer than required MI epochs after rejection,0,0,0,0,5,8,3,7,09-10,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,5,8,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,3,7,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,0,0,0,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_MI|INSUFFICIENT_MOVEMENT_PAIRS,8,15,1,False,INSUFFICIENT_MOVEMENT_ME|INSUFFICIENT_MOVEMENT_PAIRS,True,STRICT_MODE_EPOCHS|STRICT_CELL_EPOCHS|STRICT_CELL_FRACTION,23.0,0.0,24.0,0.0,22.0,0.0,21.0,0.0,23.0,0.21739130434782608,23.0,0.34782608695652173,22.0,0.13636363636363635,22.0,0.3181818181818182
10,True,88,89,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,24,24,21,21,21,22,22,22,03-04|05-06|07-08|09-10|11-12|13-14,24,24,3,True,ELIGIBLE,21,21,3,True,ELIGIBLE,21,22,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,43,44,3,True,ELIGIBLE,True,ELIGIBLE,24.0,1.0,24.0,1.0,21.0,1.0,21.0,1.0,23.0,0.9130434782608695,23.0,0.9565217391304348,22.0,1.0,22.0,1.0
11,True,90,89,6,3,3,both_feet|both_fists|left_fist|right_fist,both_feet|both_fists|left_fist|right_fist,True,True,True,True,ELIGIBLE,eligible under primary rule,22,22,23,22,22,22,23,23,03-04|05-06|07-08|09-10|11-12|13-14,22,22,3,True,ELIGIBLE,23,22,3,True,ELIGIBLE,22,22,3,True,ELIGIBLE,23,23,3,True,ELIGIBLE,45,44,3,True,ELIGIBLE,45,45,3,True,ELIGIBLE,True,ELIGIBLE,22.0,1.0,23.0,0.9565217391304348,23.0,1.0,22.0,1.0,22.0,1.0,22.0,1.0,23.0,1.0,23.0,1.0
